persistence_length,num_fibers,noise_density,fov,curvature_min,curvature_max,filename,timestamp,simulation_id,repeat_id,status
,4,0.3,1000,0.0,0.005,network_repeat_81_comb_0.pt,2024-12-09 11:45:39,0,81,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_81_comb_1.pt,2024-12-09 11:45:39,1,81,completed
,4,0.3,1000,0.0,0.005,network_repeat_82_comb_0.pt,2024-12-09 11:45:40,0,82,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_82_comb_1.pt,2024-12-09 11:45:40,1,82,completed
,4,0.3,1000,0.0,0.005,network_repeat_83_comb_0.pt,2024-12-09 11:45:40,0,83,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_83_comb_1.pt,2024-12-09 11:45:41,1,83,completed
,4,0.3,1000,0.0,0.005,network_repeat_84_comb_0.pt,2024-12-09 11:45:41,0,84,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_84_comb_1.pt,2024-12-09 11:45:42,1,84,completed
,4,0.3,1000,0.0,0.005,network_repeat_85_comb_0.pt,2024-12-09 11:45:42,0,85,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_85_comb_1.pt,2024-12-09 11:45:43,1,85,completed
,4,0.3,1000,0.0,0.005,network_repeat_86_comb_0.pt,2024-12-09 11:45:43,0,86,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_86_comb_1.pt,2024-12-09 11:45:43,1,86,completed
,4,0.3,1000,0.0,0.005,network_repeat_87_comb_0.pt,2024-12-09 11:45:44,0,87,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_87_comb_1.pt,2024-12-09 11:45:44,1,87,completed
,4,0.3,1000,0.0,0.005,network_repeat_88_comb_0.pt,2024-12-09 11:45:45,0,88,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_88_comb_1.pt,2024-12-09 11:45:45,1,88,completed
,4,0.3,1000,0.0,0.005,network_repeat_89_comb_0.pt,2024-12-09 11:45:45,0,89,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_89_comb_1.pt,2024-12-09 11:45:46,1,89,completed
,4,0.3,1000,0.0,0.005,network_repeat_90_comb_0.pt,2024-12-09 11:45:46,0,90,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_90_comb_1.pt,2024-12-09 11:45:47,1,90,completed
,4,0.3,1000,0.0,0.005,network_repeat_91_comb_0.pt,2024-12-09 11:45:47,0,91,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_91_comb_1.pt,2024-12-09 11:45:48,1,91,completed
,4,0.3,1000,0.0,0.005,network_repeat_92_comb_0.pt,2024-12-09 11:45:48,0,92,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_92_comb_1.pt,2024-12-09 11:45:49,1,92,completed
,4,0.3,1000,0.0,0.005,network_repeat_93_comb_0.pt,2024-12-09 11:45:49,0,93,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_93_comb_1.pt,2024-12-09 11:45:50,1,93,completed
,4,0.3,1000,0.0,0.005,network_repeat_94_comb_0.pt,2024-12-09 11:45:50,0,94,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_94_comb_1.pt,2024-12-09 11:45:51,1,94,completed
,4,0.3,1000,0.0,0.005,network_repeat_95_comb_0.pt,2024-12-09 11:45:51,0,95,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_95_comb_1.pt,2024-12-09 11:45:52,1,95,completed
,4,0.3,1000,0.0,0.005,network_repeat_96_comb_0.pt,2024-12-09 11:45:52,0,96,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_96_comb_1.pt,2024-12-09 11:45:53,1,96,completed
,4,0.3,1000,0.0,0.005,network_repeat_97_comb_0.pt,2024-12-09 11:45:53,0,97,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_97_comb_1.pt,2024-12-09 11:45:54,1,97,completed
,4,0.3,1000,0.0,0.005,network_repeat_98_comb_0.pt,2024-12-09 11:45:54,0,98,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_98_comb_1.pt,2024-12-09 11:45:55,1,98,completed
,4,0.3,1000,0.0,0.005,network_repeat_99_comb_0.pt,2024-12-09 11:45:55,0,99,completed
